species,n_cells_64,n_cells_128,a_eta_64,a_eta_128,b_eta_64,b_eta_128,c_eta_64,c_eta_128,d_frac_64,d_frac_128,d2_frac_64,d2_frac_128,a_rank_64,a_rank_128,b_rank_64,b_rank_128,c_rank_64,c_rank_128,d_rank_64,d_rank_128,d2_rank_64,d2_rank_128
barbutellus,15,21,2.3980108350714775,0.4220431205771328,1.0441835969885918,0.3410959002516628,2.5745918601950737,0.45015374393681296,0.4594259262084961,0.46988195180892944,0.3333333333333333,0.23809523809523808,17,26,18,8,17,25,28,18,21,26
bohemicus,6,11,3.1492998350929042,0.7568780650802797,1.2702433813880702,-2.1804624328903013,3.3886193980048915,0.6849800815292543,0.47196900844573975,0.43350839614868164,0.3333333333333333,0.18181818181818182,12,21,15,29,12,21,23,29,21,28
campestris,7,15,1.1514464959889992,-1.1063108974000868,-0.36989784534868164,-1.0141244464418349,1.2254919156819923,-1.0523924761316237,0.5024715662002563,0.5036088824272156,0.5714285714285714,0.6,24,30,28,20,24,30,6,4,6,3
hortorum,33,65,0.7108951131098231,1.7976372074678055,0.21680659374522765,-0.15556682829116653,0.769197515606161,1.810487134416353,0.4841490387916565,0.4794802963733673,0.36363636363636365,0.38461538461538464,27,15,22,11,28,15,13,12,17,12
humilis,23,43,2.1444142134847,3.151591471962905,1.5785970808924987,0.9301015656518696,2.192971137350972,3.195611886315322,0.48171523213386536,0.4715884327888489,0.34782608695652173,0.37209302325581395,18,9,8,5,19,8,16,14,19,15
hypnorum,6,7,4.477466672897847,-3.1099030860374226,1.3061872425084433,-1.9828495495627179,5.10902604484609,-3.078250993103768,0.39559829235076904,0.4016857445240021,0.16666666666666666,0.14285714285714285,6,31,14,28,6,31,31,31,30,30
jonellus,5,6,3.607731267866341,7.162397641598949,2.3887175769178546,-0.41571937137865067,3.781355783399788,7.037015695035229,0.5106064081192017,0.4767378866672516,0.6,0.5,9,1,5,16,10,1,4,13,5,6
lapidarius,25,57,0.9569442995900407,1.7607930934075353,-0.2872257104998336,-0.6398814881201746,1.1652165182942644,1.7831797635201452,0.4568626284599304,0.4485224783420563,0.24,0.15789473684210525,26,16,27,18,26,16,29,25,26,29
lucorum,26,50,0.533123567402624,1.7043830709447767,0.015061676204465788,-0.29743665886021603,0.5823257115485896,1.7260950164785291,0.4792298674583435,0.48158249258995056,0.34615384615384615,0.38,29,18,24,15,29,17,20,10,20,14
magnus,9,16,2.8450841586133575,2.208802149265064,1.1973937693080043,-0.267718150646435,2.9890169779798126,2.2216793751409183,0.4557150602340698,0.43151193857192993,0.2222222222222222,0.25,14,14,16,14,15,14,30,30,27,24
mendax,4,4,6.640594472594627,0.4260706170537121,3.2216529747918923,2.0294789536931166,6.977009763427146,0.6706291898228771,0.5297631025314331,0.5097771883010864,0.75,0.5,2,25,1,1,2,22,2,3,2,6
mesomelas,8,13,3.396880391427706,5.201543760203309,1.8066284688202843,1.6216110109319164,3.6179523499695763,5.248406362437196,0.4716087579727173,0.47046008706092834,0.25,0.38461538461538464,11,3,7,2,11,3,24,17,24,12
monticola,5,6,3.9504834267160365,3.115498045268964,1.5395800920984217,0.9328361542853822,4.247096166279024,3.1324205191764345,0.47959309816360474,0.480048805475235,0.4,0.3333333333333333,8,10,10,4,8,9,19,11,15,18
mucidus,7,7,5.660716541443856,5.039334376064674,2.709990389977486,1.037034173218147,6.041217334900887,5.146815855709449,0.48924490809440613,0.4823196828365326,0.42857142857142855,0.42857142857142855,3,4,3,3,3,4,12,9,13,11
muscorum,25,43,1.8615456723133188,3.311516257199897,1.4998205356756311,0.8899530490967169,1.901030739442454,3.3507015427681344,0.4834939241409302,0.48590323328971863,0.36,0.4418604651162791,20,7,12,6,20,6,14,8,18,10
norvegicus,1,1,8.631708596772985,-0.20244567004809078,3.1983587489794054,-2.18781606761584,9.417758439607457,-0.03860954848894771,0.482843816280365,0.43358999490737915,0.0,0.0,1,28,2,30,1,28,15,28,31,31
pascuorum,46,111,-0.31989050577956113,0.3515451672435528,-0.6888323194869128,-1.2269044694542164,-0.24925429295378598,0.37308390167958794,0.49386754631996155,0.4713895320892334,0.4782608695652174,0.36936936936936937,30,27,30,24,30,26,10,15,10,16
pratorum,25,40,0.6078453918079962,0.46929961830373346,-0.5568972567935357,-1.6695096901059574,0.7772658725361457,0.3655033746361309,0.5062441825866699,0.5328267216682434,0.52,0.675,28,24,29,26,27,27,5,2,8,2
pyrenaeus,4,4,5.128701664849169,3.3363343329018127,2.643563725396044,-0.44354952863993546,5.507482029839403,3.407410726029254,0.4707335829734802,0.446880042552948,0.25,0.25,4,6,4,17,4,5,25,26,24,24
quadricolor,3,5,4.8646018142545655,0.6820777933197091,0.9682154292905762,-2.9153158386154105,5.336119377120776,0.5947319547729562,0.49420061707496643,0.44902992248535156,0.6666666666666666,0.2,5,22,19,31,5,23,9,24,4,27
ruderarius,16,29,2.999941305680729,2.8001837482989647,1.5437854094939003,0.6127878180087423,3.2269019647078285,2.7873316755832054,0.4635581374168396,0.45559602975845337,0.1875,0.27586206896551724,13,12,9,7,13,12,27,23,29,22
ruderatus,44,75,1.0945646493606636,1.6076612441348703,0.6468991964035102,0.12469604299542025,1.1806958644561836,1.5737949578570993,0.501861035823822,0.49594396352767944,0.5,0.49333333333333335,25,19,21,9,25,19,7,5,9,9
rupestris,9,15,2.634949372324596,0.5073060273169039,-0.04524220415626967,-1.202491657252008,2.9937748174997667,0.4739526986120699,0.4797360599040985,0.462802529335022,0.4444444444444444,0.26666666666666666,15,23,26,22,14,24,18,20,11,23
sicheli,5,8,2.5093607447498134,3.1690829362442647,1.0927869818561367,-1.228339139027342,2.695502712523251,3.0995510186722433,0.5221335291862488,0.45833298563957214,0.8,0.5,16,8,17,25,16,10,3,22,1,6
